r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
1.720001	1.1319187115635534	0.723044566003104	0.24606401369073855	0.0	-0.1302448456903169	0.0	0.0	-0.2952788965254362	0.21672440204638924
1.740001	1.1336283246462042	0.7245613777580674	0.2434622398859315	0.0	-0.1299267237515768	0.0	0.0	-0.29182227591464555	0.22146493689349617
1.760001	1.1353082066549165	0.7260783956356581	0.24086717428767762	0.0	-0.1295741703693698	0.0	0.0	-0.28837401831296366	0.2262035191978686
1.780001	1.1369576713068228	0.7275952489445788	0.23827949676378013	0.0	-0.12918806364874805	0.0	0.0	-0.28493519507687615	0.23093816238296236
1.800001	1.1385760734838841	0.7291115739293572	0.235699869504593	0.0	-0.12876929300051773	0.0	0.0	-0.2815068548646184	0.23566692646832996
1.820001	1.1401628094727068	0.7306270139503902	0.23312893681064423	0.0	-0.12831875776793317	0.0	0.0	-0.27809002285102996	0.24038791930950393
1.840001	1.1417173171147796	0.7321412196514377	0.23056732490768134	0.0	-0.12783736585837885	0.0	0.0	-0.27468569998791814	0.24509929769971842
1.860001	1.1432390758679618	0.7336538491143991	0.22801564178900322	0.0	-0.12732603238366536	0.0	0.0	-0.2712948623116152	0.24979926833692567
1.880001	1.1447276067804013	0.735164568001246	0.22547447708487015	0.0	-0.12678567831248416	0.0	0.0	-0.26791846029921706	0.2544860886597833
1.900001	1.1461824723784089	0.7366730496830295	0.22294440195871443	0.0	-0.12621722913846817	0.0	0.0	-0.2645574182747877	0.25915806755650483
1.9200009999999998	1.1476032764701367	0.7381789753559209	0.22042596902980577	0.0	-0.1256216135671903	0.0	0.0	-0.26121263386660504	0.26381356595064165
1.9400009999999999	1.1489896638672255	0.739682034144285	0.21791971232196064	0.0	-0.12499976222530172	0.0	0.0	-0.25788497751631706	0.26845099726802724
1.9600009999999999	1.150341320026869	0.741181923190828	0.21542614723782177	0.0	-0.12435260639486752	0.0	0.0	-0.25457529204065793	0.27306882778924924
1.980001	1.1516579706170258	0.7426783477338993	0.2129457705581747	0.0	-0.12368107677579881	0.0	0.0	-0.25128439224616755	0.27766557689212307
2.000001	1.15293938100775	0.7441710211720663	0.2104790604657118	0.0	-0.12298610227911247	0.0	0.0	-0.24801306459714292	0.2822398171887419
2.020001	1.1541853556918473	0.745659665116116	0.2080264765926014	0.0	-0.12226860885356926	0.0	0.0	-0.24476206693684377	0.28679017456174083
2.040001	1.1553957376382666	0.7471440094286736	0.20558846009117057	0.0	-0.1215295183480537	0.0	0.0	-0.2415321282617683	0.29131532810446464
2.060001	1.156570407581813	0.7486237922516623	0.2031654337269646	0.0	-0.12076974741186346	0.0	0.0	-0.2383239485486198	0.29581400996976415
2.080001	1.1577092832529337	0.7500987600218564	0.200757801993405	0.0	-0.11999020643487518	0.0	0.0	-0.23513819863338906	0.30028500513215395
2.1000010000000002	1.1588123185514505	0.7515686674748135	0.19836595124723075	0.0	-0.11919179852934896	0.0	0.0	-0.2319755201417975	0.3047271510680688
2.1200010000000002	1.1598795026682291	0.7530332776374961	0.19599024986387364	0.0	-0.11837541855492532	0.0	0.0	-0.22883652547016764	0.30913933735892496
2.1400010000000003	1.1609108591588486	0.7544923618099163	0.1936310484118907	0.0	-0.11754195218816046	0.0	0.0	-0.2257217978156233	0.3135205052216682
2.1600010000000003	1.1619064449733993	0.7559456995361661	0.1912886798455506	0.0	-0.116692275037736	0.0	0.0	-0.22263189125436808	0.31786964697143816
2.1800010000000003	1.1628663494465723	0.7573930785652072	0.1889634597146514	0.0	-0.11582725180627314	0.0	0.0	-0.21956733086664443	0.3221858054209125
2.2000010000000003	1.1637906932522109	0.758834294801821	0.18665568639062968	0.0	-0.11494773549947618	0.0	0.0	-0.21652861290684597	0.3264680732208264
2.2200010000000003	1.164679627326489	0.7602691522481286	0.18436564130800898	0.0	-0.11405456668313069	0.0	0.0	-0.2135162050171336	0.33071559214607615
2.2400010000000004	1.1655333317638505	0.7616974629361088	0.18209358922022675	0.0	-0.11314857278828605	0.0	0.0	-0.21053054648280026	0.33492755233171867
2.2600010000000004	1.1663520146897899	0.7631190468515489	0.1798397784688746	0.0	-0.11223056746476362	0.0	0.0	-0.2075720485275326	0.33910319146307916
2.2800010000000004	1.1671359111144886	0.7645337318498756	0.1776044412653853	0.0	-0.11130134998294952	0.0	0.0	-0.2046410946466364	0.3432417939240627
2.3000010000000004	1.167885281771235	0.7659413535643188	0.17538779398420257	0.0	-0.11036170468365765	0.0	0.0	-0.20173804097622242	0.347342689907654
