r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m	Sigmata
2.1200010000000002	1.188155312779021	0.712569703237174	0.19599024986387364	0.0	-0.11837541855492532	0.0	0.0	-0.22883652547016764	0.30913933735892496	0.8466434786266186
2.1400010000000003	1.1893050597736776	0.7143972601335008	0.1936310484118907	0.0	-0.11754195218816046	0.0	0.0	-0.2257217978156233	0.3135205052216682	0.8496362761652246
2.1600010000000003	1.1904117545492872	0.7162161642032581	0.1912886798455506	0.0	-0.116692275037736	0.0	0.0	-0.22263189125436808	0.31786964697143816	0.8525921406657608
2.1800010000000003	1.1914755613293657	0.7180261572288221	0.1889634597146514	0.0	-0.11582725180627314	0.0	0.0	-0.21956733086664443	0.3221858054209125	0.8555106187333783
2.2000010000000003	1.1924966815702704	0.7198269922313799	0.18665568639062968	0.0	-0.11494773549947618	0.0	0.0	-0.21652861290684597	0.3264680732208264	0.8583912995406294
2.2200010000000003	1.193475352561833	0.7216184333584212	0.18436564130800898	0.0	-0.11405456668313069	0.0	0.0	-0.2135162050171336	0.33071559214607615	0.8612338141675593
2.2400010000000004	1.1944118459990984	0.7234002557597168	0.18209358922022675	0.0	-0.11314857278828605	0.0	0.0	-0.21053054648280026	0.33492755233171867	0.8640378348781833
2.2600010000000004	1.1953064665303668	0.7251722454524231	0.1798397784688746	0.0	-0.11223056746476362	0.0	0.0	-0.2075720485275326	0.33910319146307916	0.8668030743376277
2.2800010000000004	1.1961595502866127	0.7269341991759624	0.1776044412653853	0.0	-0.11130134998294952	0.0	0.0	-0.2046410946466364	0.3432417939240627	0.869529284774278
2.3000010000000004	1.1969714633972337	0.7286859242373309	0.17538779398420257	0.0	-0.11036170468365765	0.0	0.0	-0.20173804097622242	0.347342689907654	0.8722162570913238
2.320001	1.1977426004969116	0.730427238347488	0.1731900374664762	0.0	-0.10941240047568267	0.0	0.0	-0.19886321669629234	0.3514052544924559	0.8748638199320978
2.340001	1.1984733832282097	0.7321579694494815	0.17101135733333334	0.0	-0.10845419038050717	0.0	0.0	-0.1960169244656197	0.3554289066889965	0.8774718387036163
2.360001	1.1991642587443356	0.733877955538957	0.16885192430778975	0.0	-0.10748781112348058	0.0	0.0	-0.19319944088628702	0.3594131084593925	0.8800402145626818
2.380001	1.1998156982163022	0.7355870444776951	0.1667118945443795	0.0	-0.10651398277065116	0.0	0.0	-0.1904110169957203	0.36335736371382743	0.8825688833688718
2.400001	1.2004281953485096	0.7372850938008142	0.16459140996559926	0.0	-0.10553340841030698	0.0	0.0	-0.18765187878404987	0.36726121728715494	0.8850578146086681
2.420001	1.201002264906549	0.7389719705182624	0.16249059860428333	0.0	-0.10454677387816608	0.0	0.0	-0.1849222277346299	0.3711242538988011	0.8875070102948887
2.440001	1.2015384412608017	0.740647550911213	0.16040957495104813	0.0	-0.10355474752505216	0.0	0.0	-0.18222224138555576	0.37494609709899135	0.8899165038454891
2.460001	1.2020372769491785	0.7423117203239658	0.15834844030596862	0.0	-0.10255798002579808	0.0	0.0	-0.17955207391004202	0.37872640820419	0.89228635894568
2.480001	1.2024993412621034	0.743964372951936	0.1563072831336756	0.0	-0.10155710422803664	0.0	0.0	-0.17691185671355034	0.3824648852244892	0.8946166683971768
2.500001	1.2029252188526096	0.7456054116263043	0.15428617942108983	0.0	-0.1005527350394658	0.0	0.0	-0.17430169904559362	0.3861612617855444	0.8969075529582622
